PerCode,DwCode,Year,Estimate,SE,LowerCIB,UpperCIB
P003,D003A,2024,667.4,14.6,652.8,682
P003,D003B,2024,33.5,0.7,32.7,34.2
P003,D004A,2024,161.8,8.3,153.4,170.1
P003,D004B,2024,40.6,1.9,38.7,42.5
P003,D005A,2024,172.8,9.5,163.3,182.2
P003,D005B,2024,43.3,1.8,41.5,45
P003,D006A,2024,163.3,8.7,154.5,172
P003,D006B,2024,40.9,1.7,39.2,42.6
P003,D007A,2024,107.4,7.6,99.8,114.9
P003,D007B,2024,27,1.7,25.3,28.6
P003,D008A,2024,62.2,6.3,56,68.5
P003,D008B,2024,15.6,1.5,14.1,17.1
P004,D001A,2024,188.5,10.2,178.3,198.7
P004,D001B,2024,14.8,0.7,14.1,15.5
P004,D002A,2024,203.3,10.3,193,213.7
P004,D002B,2024,28.4,1.3,27.1,29.7
P004,D003A,2024,392.2,12.6,379.6,404.8
P004,D003B,2024,19.7,0.6,19,20.3
P004,D004A,2024,126.3,7.1,119.2,133.3
P004,D004B,2024,31.7,1.6,30.1,33.2
P004,D005A,2024,123.8,7.8,116,131.6
P004,D005B,2024,31,1.6,29.4,32.6
P004,D006A,2024,77.7,6.5,71.1,84.2
P004,D006B,2024,19.5,1.4,18,20.9
P004,D007A,2024,40.6,4.8,35.8,45.4
P004,D007B,2024,10.2,1.2,9,11.4
P004,D008A,2024,23.8,3.6,20.2,27.5
P004,D008B,2024,6,0.9,5.1,6.8
